Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
,S2,2024-02-12,0.48,9.58,-0.42,-8.3,6.6,-122.88,194.36,992.04,215.68
,S2,2024-03-13,0.05,1.02,-0.32,-6.46,0.96,-113.0,178.84,997.68,225.56
,LC08,2024-03-15,-0.91,-18.22,-0.28,-5.7,-28.48,-93.28,129.68,1027.12,245.28
,S2,2024-04-17,-0.8,-16.08,-0.43,-8.6,-22.24,-102.96,145.6,1020.88,235.6
,S2,2024-04-22,0.08,1.5,-0.4,-8.04,1.28,-98.44,164.6,997.36,240.12
,S2,2024-05-02,-7.16,-143.24,-0.32,-6.46,-29.88,-75.76,110.76,1028.52,262.8
,LC08,2024-06-19,-0.38,-7.68,-0.28,-5.64,254.88,-130.08,449.84,743.76,208.48
,LC09,2024-07-13,-0.28,-5.6,0.05,1.02,224.64,-28.04,317.56,774.0,310.52
,LC08,2024-09-07,-0.29,-5.72,-0.19,-3.74,-9.76,-27.28,82.4,1008.4,311.28
,S2,2024-09-09,-0.36,-7.2,-0.25,-5.06,-8.12,-30.68,87.44,1006.76,307.88
,LC09,2024-09-15,-0.47,-9.34,-0.15,-2.92,-14.32,-28.88,79.44,1012.96,309.68
,S2,2024-09-19,0.84,16.76,-0.2,-3.98,12.12,-32.24,109.24,986.52,306.32
,S2,2024-09-29,-0.53,-10.68,-0.23,-4.56,-14.48,-35.4,85.8,1013.12,303.16
,LC08,2024-10-09,-0.63,-12.52,-0.25,-5.0,-17.56,-36.6,83.92,1016.2,301.96
,LC09,2024-11-02,0.07,1.44,0.1,2.08,-1.8,-0.64,63.72,1000.44,337.92
