Unnamed: 0,sensor,date,IW_CDI,IW_shoreline_chg,EOV_CDI,EOV_shoreline_chg,IW_area_change (Ha),EOV_area_change (Ha),sand_area (Ha),water_area (Ha),vegetation_area (Ha)
,S2,2025-02-26,0.09,1.88,-0.18,-3.6,2.08,-1.96,52.24,1078.88,215.64
,S2,2025-03-05,-0.83,-16.64,0.02,0.34,-8.08,0.08,40.04,1089.04,217.68
,S2,2025-03-08,0.08,1.68,-0.13,-2.58,3.0,-1.48,52.68,1077.96,216.12
,S2,2025-03-13,-0.28,-5.54,-0.04,-0.78,-1.36,-0.44,47.28,1082.32,217.16
,S2,2025-03-20,-0.68,-13.68,-0.09,-1.88,-4.84,-1.2,44.56,1085.8,216.4
,LC08,2025-04-05,-0.05,-1.06,0.07,1.46,1.16,1.04,48.32,1079.8,218.64
,S2,2025-04-09,0.76,15.22,-0.11,-2.14,17.04,-1.28,66.52,1063.92,216.32
,S2,2025-05-02,-1.79,-35.8,0.22,4.38,-17.2,2.4,28.6,1098.16,220.0
,S2,2025-05-04,-0.8,-15.92,0.05,1.04,-5.4,0.48,42.32,1086.36,218.08
,LC08,2025-05-14,-0.68,-13.58,0.33,6.52,-8.76,3.8,35.64,1089.72,221.4
,S2,2025-08-20,0.46,9.22,0.02,0.34,6.24,0.0,54.44,1074.72,217.6
